Source,Target,Weight,Type
Gongora_Arrojóse el mancebito,Gongora_Castillo de San Cervantes,27,undirected
Gongora_Arrojóse el mancebito,Gongora_Crïábase el Albanés,9,undirected
Gongora_Arrojóse el mancebito,Gongora_De la semilla, caída,73,undirected
Gongora_Arrojóse el mancebito,Gongora_En la pedregosa orilla,33,undirected
Gongora_Arrojóse el mancebito,Gongora_Entre los sueltos caballos,8,undirected
Gongora_Arrojóse el mancebito,Gongora_Frescos airecillos,7,undirected
Gongora_Arrojóse el mancebito,Gongora_La ciudad de Babilonia,20,undirected
Gongora_Arrojóse el mancebito,Gongora_Levantando blanca espuma,3,undirected
Gongora_Arrojóse el mancebito,Gongora_Moriste, ninfa bella,79,undirected
Gongora_Arrojóse el mancebito,Gongora_Pensó rendir la mozuela,278,undirected
Gongora_Arrojóse el mancebito,Gongora_Sin Leda y sin esperanza,329,undirected
Gongora_Arrojóse el mancebito,Gongora_Temo tanto los serenos,23,undirected
Gongora_Aunque entiendo poco griego,Gongora_¡Qué necio que era yo antaño...!,1,undirected
Gongora_Aunque entiendo poco griego,Gongora_A la fuente va, del Olmo,45,undirected
Gongora_Aunque entiendo poco griego,Gongora_A un tiempo dejaba el sol,105,undirected
Gongora_Aunque entiendo poco griego,Gongora_Al pie de un álamo negro,10,undirected
Gongora_Aunque entiendo poco griego,Gongora_Arrojóse el mancebito,241,undirected
Gongora_Aunque entiendo poco griego,Gongora_Cloris, el más bello grano,3,undirected
Gongora_Aunque entiendo poco griego,Gongora_Cuando la rosada Aurora,94,undirected
Gongora_Aunque entiendo poco griego,Gongora_De la semilla, caída,35,undirected
Gongora_Aunque entiendo poco griego,Gongora_De Tisbe y Píramo quiero,7,undirected
Gongora_Aunque entiendo poco griego,Gongora_Dejad los libros ahora,38,undirected
Gongora_Aunque entiendo poco griego,Gongora_Desde Sansueña a París,88,undirected
Gongora_Aunque entiendo poco griego,Gongora_Diez años vivió Belerma,140,undirected
Gongora_Aunque entiendo poco griego,Gongora_En la pedregosa orilla,50,undirected
Gongora_Aunque entiendo poco griego,Gongora_Ensíllenme el asno rucio,34,undirected
Gongora_Aunque entiendo poco griego,Gongora_La ciudad de Babilonia,255,undirected
Gongora_Aunque entiendo poco griego,Gongora_Lloraba la niña,14,undirected
Gongora_Aunque entiendo poco griego,Gongora_Murmuraban los rocines,225,undirected
Gongora_Aunque entiendo poco griego,Gongora_Noble desengaño,185,undirected
Gongora_Aunque entiendo poco griego,Gongora_Tendiendo sus blancos paños,57,undirected
Gongora_Aunque entiendo poco griego,Gongora_Triste pisa, y afligido,2,undirected
Gongora_Ave del plumaje negro,Gongora_¡Qué necio que era yo antaño...!,1,undirected
Gongora_Ave del plumaje negro,Gongora_¿Callaré la pena mía...?,3,undirected
Gongora_Ave del plumaje negro,Gongora_¿No me bastaba el peligro...?,9,undirected
Gongora_Ave del plumaje negro,Gongora_¿Quién oyó? ,128,undirected
Gongora_Ave del plumaje negro,Gongora_Al campo salió, el estío,83,undirected
Gongora_Ave del plumaje negro,Gongora_Al pie de un álamo negro,11,undirected
Gongora_Ave del plumaje negro,Gongora_Apeóse el caballero,37,undirected
Gongora_Ave del plumaje negro,Gongora_Contando estaban sus rayos,7,undirected
Gongora_Ave del plumaje negro,Gongora_En lágrimas salgan mudos,26,undirected
Gongora_Ave del plumaje negro,Gongora_Ensíllenme el asno rucio,9,undirected
Gongora_Ave del plumaje negro,Gongora_Frescos airecillos,94,undirected
Gongora_Ave del plumaje negro,Gongora_La cítara que pendiente,528,undirected
Gongora_Ave del plumaje negro,Gongora_Las esmeraldas en hierba,57,undirected
Gongora_Ave del plumaje negro,Gongora_Lloraba la niña,29,undirected
Gongora_Ave del plumaje negro,Gongora_Los montes que el pie se lavan,7,undirected
Gongora_Ave del plumaje negro,Gongora_Ojos eran, fugitivos,2,undirected
Gongora_Ave del plumaje negro,Gongora_Según vuelan por el agua,26,undirected
Gongora_Ave del plumaje negro,Gongora_Temo tanto los serenos,1,undirected
Gongora_Ave del plumaje negro,Gongora_Trepan los gitanos,24,undirected
Gongora_Castillo de San Cervantes,Gongora_A vos digo, señor Tajo,13,undirected
Gongora_Castillo de San Cervantes,Gongora_Al campo salió, el estío,63,undirected
Gongora_Castillo de San Cervantes,Gongora_Amarrado al duro banco,128,undirected
Gongora_Castillo de San Cervantes,Gongora_Aquí entre la verde juncia,125,undirected
Gongora_Castillo de San Cervantes,Gongora_Arrojóse el mancebito,27,undirected
Gongora_Castillo de San Cervantes,Gongora_Crïábase el Albanés,30,undirected
Gongora_Castillo de San Cervantes,Gongora_Diez años vivió Belerma,2,undirected
Gongora_Castillo de San Cervantes,Gongora_Ensíllenme el asno rucio,228,undirected
Gongora_Castillo de San Cervantes,Gongora_Escuchadme un rato atentos,34,undirected
Gongora_Castillo de San Cervantes,Gongora_Esperando están la rosa,1,undirected
Gongora_Castillo de San Cervantes,Gongora_La ciudad de Babilonia,15,undirected
Gongora_Castillo de San Cervantes,Gongora_La desgracia del forzado,3,undirected
Gongora_Castillo de San Cervantes,Gongora_La más bella niña,43,undirected
